Number,Type,Release date/date of original information retrieval,Source,Accessed on,Manufacturer,Product,Hash rate in Mh/s,Power in W,Efficiency in Mh/J
1,GPU,2-Apr-2004,http://karlodwyer.com/publications/pdf/bitcoin_KJOD_2014.pdf,06-May-2018,Sapphire,ATI 4850,101,110,1
,,2-Apr-2004,https://www.amazon.com/Sapphire-Radeon-HD4850-PCI-Express-100245HDMI/dp/B001XW4BKO,08-May-2018,,,,,
2,GPU,25-Jul-2011,http://karlodwyer.com/publications/pdf/bitcoin_KJOD_2014.pdf,06-May-2018,Sapphire,ATI 5770,215,108,2
,,25-Jul-2011,https://www.amazon.com/ATI-Radeon-DisplayPort-Dual-DVI-7120184001G/dp/B005EDG750,08-May-2018,,,,,
3,FPGA,18-Aug-2011,https://en.bitcoin.it/wiki/Mining_hardware_comparison,06-May-2018,Unknown,Bitcoin Dominator X5000,100,7,15
,,18-Aug-2011,https://bitcointalk.org/index.php?topic=37904.0 ,06-May-2018,,,,,
4,FPGA,17-Jul-2012,https://en.bitcoin.it/wiki/Mining_hardware_comparison,06-May-2018,Black Arrow,Lancelot,400,26,15
,,17-Jul-2012,https://bitcointalk.org/index.php?topic=79835.0,06-May-2018,,,,,
5,ASIC,19-Jan-2013,https://www.bitcoinmining.com/bitcoin-mining-hardware/ ,06-May-2018,Canaan,Avalon Batch 1,"66,000",617,107
,,19-Jan-2013,https://bitcoinmagazine.com/articles/avalon-ships-bitcoins-first-consumer-asics-1358905223/,06-May-2018,,,,,
6,ASIC,30-Jan-2013,https://en.bitcoin.it/wiki/Mining_hardware_comparison ,06-May-2018,Canaan,Avalon Batch 2,"82,000",700,117
,,30-Jan-2013,https://www.bitcoinmining.com/bitcoin-mining-hardware/,06-May-2018,,,,,
7,ASIC,30-Jan-2013,https://en.bitcoin.it/wiki/Mining_hardware_comparison,06-May-2018,Canaan,Avalon Batch 3,"82,000",700,117
,,30-Jan-2013,https://www.bitcoinmining.com/bitcoin-mining-hardware/,06-May-2018,,,,,
8,FPGA,30-Jan-2013,https://en.bitcoin.it/wiki/Mining_hardware_comparison,06-May-2018,Butterfly Labs,BitForce SHA256 Single,832,80,10
9,FPGA,30-Jan-2013,https://en.bitcoin.it/wiki/Mining_hardware_comparison,06-May-2018,Unknown,Icarus,380,19,20
10,FPGA,30-Jan-2013,https://en.bitcoin.it/wiki/Mining_hardware_comparison,06-May-2018,Unknown,ModMiner Quad,800,40,20
11,FPGA,30-Jan-2013,https://en.bitcoin.it/wiki/Mining_hardware_comparison,06-May-2018,Unknown,X6500 FPGA Miner,400,17,23
12,FPGA,7-Feb-2013,https://en.bitcoin.it/wiki/Mining_hardware_comparison,06-May-2018,Butterfly Labs,Butterflylabs Mini Rig,"25,200","1,250",20
13,ASIC,16-Apr-2013,https://bitcointalk.org/index.php?topic=204030.0,06-May-2018,ASICMiner,ASICMiner BE Blade,"10,752",83,130
,,16-Apr-2013,https://bitcointalk.org/index.php?topic=178275.0,06-May-2018,,,,,
14,ASIC,4-May-2013,https://www.bitcoinmining.com/bitcoin-mining-hardware/  ,06-May-2018,ASICMiner,ASICMiner BE Sapphire,330,3,129
,,4-May-2013,https://www.bitcoinmining.com/usb-bitcoin-miners-bitcoin-mining/,06-May-2018,,,,,
,,4-May-2013,https://bitcointalk.org/index.php?topic=195004.0,06-May-2018,,,,,
15,ASIC,17-May-2013,http://karlodwyer.com/publications/pdf/bitcoin_KJOD_2014.pdf,06-May-2018,ASICMiner,Block Erupter Sapphire,333,3,131
